,name,categories,lat,lng,labeledLatLngs,distance,postalCode,cc,city,state,country,formattedAddress,address,crossStreet,neighborhood,id
0,Food Truck Gathering at Riyadh Public Transport Exhibition,Street Food Gathering,24.72428001324195,46.699452687193386,"[{'label': 'display', 'lat': 24.72428001324195, 'lng': 46.699452687193386}]",2553,12432,SA,الرياض,منطقة الرياض‎,المملكة العربية السعودية,"['الرياض 12432', 'المملكة العربية السعودية']",,,,5a54d94bf193c011e0f55921
1,حنيني - Food Truck,Food Truck,24.731596915391222,46.65054278493154,"[{'label': 'display', 'lat': 24.731596915391222, 'lng': 46.65054278493154}]",2479,12363,SA,الرياض,منطقة الرياض‎,المملكة العربية السعودية,"['طريق التخصصي (حي المحمدية)', 'الرياض 12363', 'المملكة العربية السعودية']",طريق التخصصي,حي المحمدية,,5f8a170633ca484145aa2925
2,Food Trucks @ Turki Alawwal (عربات طعام تركي الأول),Food Truck,24.78303417820341,46.575330992998055,"[{'label': 'display', 'lat': 24.78303417820341, 'lng': 46.575330992998055}]",11677,,SA,الرياض,منطقة الرياض‎,المملكة العربية السعودية,"['Anas bin Malek', 'الرياض', 'المملكة العربية السعودية']",,Anas bin Malek,,579bbb6d498e5aa176ef3670
3,Blïnd Burger Food Truck,Food Truck,24.734508,46.698943,"[{'label': 'display', 'lat': 24.734508, 'lng': 46.698943}]",2472,12435,SA,الرياض,منطقة الرياض‎,المملكة العربية السعودية,"['الرياض 12435', 'المملكة العربية السعودية']",,,,5bf6f348ee7120002c9e6471
4,Victoire Food Truck,Burger Joint,24.731701,46.65024,"[{'label': 'display', 'lat': 24.731701, 'lng': 46.65024}]",2510,,SA,الرياض,منطقة الرياض‎,المملكة العربية السعودية,"['Riyadh (Takhasosi)', 'الرياض', 'المملكة العربية السعودية']",Riyadh,Takhasosi,,58ded0cffef5fa7476a9658b
5,Brunch (Food Truck),Food Truck,24.783902946146746,46.59204589678523,"[{'label': 'display', 'lat': 24.783902946146746, 'lng': 46.59204589678523}]",10311,13522,SA,الرياض,منطقة الرياض‎,المملكة العربية السعودية,"['الرياض 13522', 'المملكة العربية السعودية']",,,,5d7ac122023689000785eca9
6,Protein_shot Food Truck,Food Truck,24.811646760247754,46.59280858055564,"[{'label': 'display', 'lat': 24.811646760247754, 'lng': 46.59280858055564}]",12313,13521,SA,الرياض,منطقة الرياض‎,المملكة العربية السعودية,"['الرياض 13521', 'المملكة العربية السعودية']",,,,5a9589ce8a6f175a5f02a1a2
7,Healthy Food Truck,Food Truck,24.723333084286043,46.69785960650713,"[{'label': 'display', 'lat': 24.723333084286043, 'lng': 46.69785960650713}]",2427,,SA,الرياض,منطقة الرياض‎,المملكة العربية السعودية,"['Al Orouba Road', 'الرياض', 'المملكة العربية السعودية']",Al Orouba Road,,,5aae47bbe1f22809dc546c42
8,فود ترك كمونيز | Kamoneez Food Truck (كمونيز),Food Truck,24.731687550341302,46.649835777426,"[{'label': 'display', 'lat': 24.731687550341302, 'lng': 46.649835777426}]",2551,12381,SA,الرياض,منطقة الرياض‎,المملكة العربية السعودية,"['الرياض 12381', 'المملكة العربية السعودية']",,,,5f6e5160aa69a62895ecdae2
9,Burger Way Food Truck,Burger Joint,24.731402,46.639238,"[{'label': 'display', 'lat': 24.731402, 'lng': 46.639238}]",3619,12364,SA,الرياض,منطقة الرياض‎,المملكة العربية السعودية,"['الرياض 12364', 'المملكة العربية السعودية']",,,,60c2ad0786027f3f7702b518
10,4Twins - Food Truck,Food Truck,24.77865608320065,46.58586482316522,"[{'label': 'display', 'lat': 24.77865608320065, 'lng': 46.58586482316522}]",10513,13521,SA,الرياض,منطقة الرياض‎,المملكة العربية السعودية,"['الرياض 13521', 'المملكة العربية السعودية']",,,,5ef916217f05c700088c4bf0
11,Wingswings Chicken Food Truck,Food Truck,24.713153702763908,46.65030240125619,"[{'label': 'display', 'lat': 24.713153702763908, 'lng': 46.65030240125619}]",3123,,SA,الرياض,منطقة الرياض‎,المملكة العربية السعودية,"['الرياض', 'المملكة العربية السعودية']",,,,5a4ba7948194fc667bba5237
12,Food truck,Food Truck,24.813028,46.611359,"[{'label': 'display', 'lat': 24.813028, 'lng': 46.611359}]",11260,13524,SA,الرياض,منطقة الرياض‎,المملكة العربية السعودية,"['الملقا شارع وج (مقابل صحبه كوفي)', 'الرياض 13524', 'المملكة العربية السعودية']",الملقا شارع وج,مقابل صحبه كوفي,,605ce1fad30797793129698d
13,Hook Food Truck,Food Truck,24.75813167792903,46.61765397830962,"[{'label': 'display', 'lat': 24.75813167792903, 'lng': 46.61765397830962}]",6589,13512,SA,الرياض,منطقة الرياض‎,المملكة العربية السعودية,"['الرياض 13512', 'المملكة العربية السعودية']",,,,5a60e8989746172bc549df74
14,Food Trucks Alaqiq Bridge,Street Food Gathering,24.780103,46.638351,"[{'label': 'display', 'lat': 24.780103, 'lng': 46.638351}]",6695,13315,SA,الرياض,منطقة الرياض‎,المملكة العربية السعودية,"['King Fahad Rd', 'الرياض 13315', 'المملكة العربية السعودية']",King Fahad Rd,,As-Sahafa,585ac7fe424f93087e8681fd
15,Sauce Food Truck,Food Stand,24.727679,46.636141,"[{'label': 'display', 'lat': 24.727679, 'lng': 46.636141}]",3937,,SA,الرياض,منطقة الرياض‎,المملكة العربية السعودية,"['الرياض', 'المملكة العربية السعودية']",,,,5aba0c536fd62678762a01c5
16,Urth Caffé - Food Truck,Café,24.750099,46.725397,"[{'label': 'display', 'lat': 24.750099, 'lng': 46.725397}]",5564,12451,SA,الرياض,منطقة الرياض‎,المملكة العربية السعودية,"['Riyadh International Convention & Exhibition Center', 'الرياض 12451', 'المملكة العربية السعودية']",Riyadh International Convention & Exhibition Center,,,6045e4f1071ccf469de370bb
17,food truck aunt jf,Food Truck,24.77448909610541,46.701247159486236,"[{'label': 'display', 'lat': 24.77448909610541, 'lng': 46.701247159486236}]",5618,12476,SA,الرياض,منطقة الرياض‎,المملكة العربية السعودية,"['الرياض 12476', 'المملكة العربية السعودية']",,,,5ff89d14253074041286dd67
18,Food Truck,Food Truck,24.76264803064588,46.602823420073726,"[{'label': 'display', 'lat': 24.76264803064588, 'lng': 46.602823420073726}]",8151,13512,SA,الرياض,منطقة الرياض‎,المملكة العربية السعودية,"['الرياض 13512', 'المملكة العربية السعودية']",,,,5c9e9428396de0002c635cd8
19,Food Truck Yard,Food Truck,24.701588642823737,46.79753421235224,"[{'label': 'display', 'lat': 24.701588642823737, 'lng': 46.79753421235224}]",12788,,SA,,,المملكة العربية السعودية,['المملكة العربية السعودية'],,,,58443e3f9465dd4262992fd1
20,Food Truck,Food Truck,24.71943517607972,46.77348765634902,"[{'label': 'display', 'lat': 24.71943517607972, 'lng': 46.77348765634902}]",10027,14212,SA,الرياض,منطقة الرياض‎,المملكة العربية السعودية,"['الرياض 14212', 'المملكة العربية السعودية']",,,,5e404e6457fcde0008c9819c
21,Food Truck cokguzel,Food Truck,24.789016093173043,46.63325696621669,"[{'label': 'display', 'lat': 24.789016093173043, 'lng': 46.63325696621669}]",7808,,SA,الرياض,منطقة الرياض‎,المملكة العربية السعودية,"['الرياض', 'المملكة العربية السعودية']",,,,58c439be9465dd5494b8e765
22,Philly Food Truck,Food Truck,24.68690536472576,46.687382290454295,"[{'label': 'display', 'lat': 24.68690536472576, 'lng': 46.687382290454295}]",4957,12221,SA,الرياض,منطقة الرياض‎,المملكة العربية السعودية,"['الرياض 12221', 'المملكة العربية السعودية']",,,,59dfbf390881583ff098c2ff
23,Gourmet Burger | Food Truck,Food Truck,24.687163667272696,46.68800020723445,"[{'label': 'display', 'lat': 24.687163667272696, 'lng': 46.68800020723445}]",4946,,SA,,,المملكة العربية السعودية,['المملكة العربية السعودية'],,,,585eb1a3ac13690a1b6c4d45
24,Food Truck,Food Truck,24.859116144820884,46.717942934373006,"[{'label': 'display', 'lat': 24.859116144820884, 'lng': 46.717942934373006}]",15013,13412,SA,الرياض,منطقة الرياض‎,المملكة العربية السعودية,"['الرياض 13412', 'المملكة العربية السعودية']",,,,5fd6f958526c770d39d950c6
25,Wing Wings Food Truck,Food Truck,24.68527110499729,46.6888115294067,"[{'label': 'display', 'lat': 24.68527110499729, 'lng': 46.6888115294067}]",5171,12321,SA,الرياض,منطقة الرياض‎,المملكة العربية السعودية,"['Turki Awal (Makkah Road)', 'الرياض 12321', 'المملكة العربية السعودية']",Turki Awal,Makkah Road,,5a05d4294a7aae79f9c12a56
26,Mcdonald’s Food Truck,Fast Food Restaurant,24.77874,46.59687,"[{'label': 'display', 'lat': 24.77874, 'lng': 46.59687}]",9582,13516,SA,الرياض,منطقة الرياض‎,المملكة العربية السعودية,"['الرياض 13516', 'المملكة العربية السعودية']",,,,5e692d7e47c37900082ccae4
27,Juice Ice Cream Food Truck,Food Truck,24.686951391477976,46.65046737032055,"[{'label': 'display', 'lat': 24.686951391477976, 'lng': 46.65046737032055}]",5396,12811,SA,الرياض,منطقة الرياض‎,المملكة العربية السعودية,"['الرياض 12811', 'المملكة العربية السعودية']",,,,59c956b135f9830719dd2246
28,Home Burger ( Food Truck ),Food Truck,24.75467653829864,46.58588365238345,"[{'label': 'display', 'lat': 24.75467653829864, 'lng': 46.58588365238345}]",9419,,SA,الرياض,منطقة الرياض‎,المملكة العربية السعودية,"['الرياض', 'المملكة العربية السعودية']",,,,5939daf18134885e463308d3
29,"DT BURGER , Food Truck",Food Truck,24.67257877302832,46.673276053696426,"[{'label': 'display', 'lat': 24.67257877302832, 'lng': 46.673276053696426}]",6394,12713,SA,الرياض,منطقة الرياض‎,المملكة العربية السعودية,"['مستشفى التخصصي', 'الرياض 12713', 'المملكة العربية السعودية']",مستشفى التخصصي,,,5c4daa2f1ffe970039c3309f
30,Brunch (Food Truck),Food Truck,24.71692164757766,46.737288298462694,"[{'label': 'display', 'lat': 24.71692164757766, 'lng': 46.737288298462694}]",6464,12321,SA,الرياض,منطقة الرياض‎,المملكة العربية السعودية,"['الرياض 12321', 'المملكة العربية السعودية']",,,,5a11d70be179100ce1c37a3f
31,U Burger Food Truck,Burger Joint,24.788825,46.665454,"[{'label': 'display', 'lat': 24.788825, 'lng': 46.665454}]",6619,13316,SA,الرياض,منطقة الرياض‎,المملكة العربية السعودية,"['طريق الامير سعود بن محمد بن مقرن', 'الرياض 13316', 'المملكة العربية السعودية']",طريق الامير سعود بن محمد بن مقرن,,,591c9c2b51950e7e8911a64d
32,Street Food Truck,Fast Food Restaurant,24.766056,46.623192,"[{'label': 'display', 'lat': 24.766056, 'lng': 46.623192}]",6598,13511,SA,الرياض,منطقة الرياض‎,المملكة العربية السعودية,"['الرياض 13511', 'المملكة العربية السعودية']",,,,5e483686b061700007d16acc
33,The Bubbly Waffles | Food Truck,Food Truck,24.779839178625508,46.638741784605344,"[{'label': 'display', 'lat': 24.779839178625508, 'lng': 46.638741784605344}]",6649,,SA,,,المملكة العربية السعودية,['المملكة العربية السعودية'],,,,589a1a3ca36ecd78d4a128f7
34,TFT Burger food truck,Burger Joint,24.754524,46.610985,"[{'label': 'display', 'lat': 24.754524, 'lng': 46.610985}]",7024,,SA,,,المملكة العربية السعودية,['المملكة العربية السعودية'],,,,5873c75c1470b068900a4c2c
35,YO UNO MEXICAN SANDWICHES FOOD TRUCk,,24.791905,46.65732,"[{'label': 'display', 'lat': 24.791905, 'lng': 46.65732}]",7119,,SA,,,المملكة العربية السعودية,['المملكة العربية السعودية'],,,,5873f46ba4367c579f2ed537
36,The Bubbly Wafles - food truck,Food Truck,24.7494507950029,46.6077067968563,"[{'label': 'display', 'lat': 24.7494507950029, 'lng': 46.6077067968563}]",7139,,SA,الرياض,منطقة الرياض‎,المملكة العربية السعودية,"['الرياض', 'المملكة العربية السعودية']",,,,588a10537220e64e53dd32df
37,Woodys Food Truck,American Restaurant,24.754076,46.60995,"[{'label': 'display', 'lat': 24.754076, 'lng': 46.60995}]",7101,,SA,الرياض,منطقة الرياض‎,المملكة العربية السعودية,"['الرياض', 'المملكة العربية السعودية']",,,,57c9c0da498ebfce2a1140f1
38,TSC Food Truck,Food Truck,24.672881461961254,46.708551465949974,"[{'label': 'display', 'lat': 24.672881461961254, 'lng': 46.708551465949974}]",7207,,SA,الرياض,منطقة الرياض‎,المملكة العربية السعودية,"['الرياض', 'المملكة العربية السعودية']",,,,5ab76c13d4cc9802c3e3f503
39,food trucks alomhamadiah,Food Truck,24.7197288711371,46.65723628536694,"[{'label': 'display', 'lat': 24.7197288711371, 'lng': 46.65723628536694}]",2129,,SA,الرياض,منطقة الرياض‎,المملكة العربية السعودية,"['Almohamadiah (Takhassui st.)', 'الرياض', 'المملكة العربية السعودية']",Almohamadiah,Takhassui st.,,58cad043ce593d315f1c49a5
40,Food Truck @ Alqirawan,Coffee Shop,24.8132,46.577608,"[{'label': 'display', 'lat': 24.8132, 'lng': 46.577608}]",13516,13532,SA,الرياض,منطقة الرياض‎,المملكة العربية السعودية,"['الرياض 13532', 'المملكة العربية السعودية']",,,,5f207d49e9553d6409b97590
