Municipality,Dist,Address,Cap,Licensed,Available,Full Address,Latitude,Longitude
الشفاء,عكاظ,منتزه عكاض,5,2,3,منتزه عكاض حي عكاظ الرياض,24.5251336,46.6700979
الشفاء,بدر,طريق بن تيمية,4,2,2,طريق بن تيمية حي بدر الرياض,24.5426884,46.6921355
الشفاء,بدر,حديقة بدر,3,0,3,حديقة بدر حي بدر الرياض,24.5501195,46.700257
الشفاء,الشفا,طريق بن تيميه,5,1,4,طريق بن تيميه حي الشفا الرياض,24.5556169,46.7019449
العزيزية,الدار البيضاء,ممشى حي الدار البيضاء,2,0,2,ممشى حي الدار البيضاء حي الدار البيضاء الرياض,24.5623331,46.7764404
الشفاء,الشفا,مصلى العيد,4,0,4,مصلى العيد حي الشفا الرياض,24.5739639,46.6978525
العزيزية,العزيزية,حديقة ممشى النفل شارع الكفاح العزيزية,2,0,2,حديقة ممشى النفل شارع الكفاح العزيزية حي العزيزية الرياض,24.5743497,46.7592109
السلي,الإسكان,حي اسكان طريق الخرج بالقرب من ش العباس الغنوي و ش زهير بن قيس,2,0,2,حي اسكان طريق الخرج بالقرب من ش العباس الغنوي و ش زهير بن قيس حي الإسكان الرياض,24.5745062,46.8472491
العزيزية,العزيزية,حديقة الربيع شارع نهاوند العزيزية,1,0,1,حديقة الربيع شارع نهاوند العزيزية حي العزيزية الرياض,24.5776126,46.7829327
العريجاء,شبرا,حديقة شبرا قبل مخرج 25,1,0,1,حديقة شبرا قبل مخرج 25 حي شبرا الرياض,24.5820613,46.6704814
العزيزية,العزيزية,حديقة السنابل على شارع خلاد بن رافع العزيزية,15,4,11,حديقة السنابل على شارع خلاد بن رافع العزيزية حي العزيزية الرياض,24.583976,46.7838155
العريجاء,السويدي الغربي,ممشى مصلى العيد حي السويدي الغربي مخرج 27,6,3,3,ممشى مصلى العيد حي السويدي الغربي مخرج 27 حي السويدي الغربي الرياض,24.5891982,46.6525831
العزيزية,العزيزية,حديقة العزيزية طريق النصر,1,0,1,حديقة العزيزية طريق النصر حي العزيزية الرياض,24.594056,46.7752039
العريجاء,ظهرة البديعة,حديقة ظهر البديعة,1,1,0,حديقة ظهر البديعة حي ظهرة البديعة الرياض,24.5947025,46.6315143
العريجاء,السويدي,منتزة السويدي,2,0,2,منتزة السويدي حي السويدي الرياض,24.5973173,46.6953321
الشميسي,البديعة,,15,0,15, حي البديعة الرياض,24.5983243,46.6455287
العريجاء,العريجاء الأوسط,ممشى نادي الهلال,2,1,1,ممشى نادي الهلال حي العريجاء الأوسط الرياض,24.60218,46.62807
الدرعية,ظهرة العودة شرق,حديقة جامع السويلم,3,0,3,حديقة جامع السويلم حي ظهرة العودة شرق الرياض,24.6203339,46.6924963
الشميسي,عليشة,,5,0,5, حي عليشة الرياض,24.6300744,46.6866841
عرقة,ظهرة لبن,حديقه شارع عنابه,5,0,5,حديقه شارع عنابه حي ظهرة لبن الرياض,24.6366608,46.5542791
عرقة,ظهرة لبن,حديقة ضاحية لبن,4,0,4,حديقة ضاحية لبن حي ظهرة لبن الرياض,24.607865,46.508922
عرقة,ظهرة لبن,حديقه لبن شارع شرم الشيخ,1,0,1,حديقه لبن شارع شرم الشيخ حي ظهرة لبن الرياض,24.6368543,46.5541426
امانة الرياض,لأماكن / المسارات المعتمدة من الأمانة,المواقع المسموحة فقط,250,102,148,الرياض,24.637736,46.673775
